joshua

joshua 1 1   ויהי אחרי מות משה עבד יהוה ויאמר יהוה אל יהושע בן נון משרת משה לאמר

joshua 17 15   ויאמר אליהם יהושע אם עם רב אתה עלה לך היערה ובראת לך שם בארץ הפרזי והרפאים כי אץ לך הר אפרים

joshua 17 16   ויאמרו בני יוסף לא ימצא לנו ההר ורכב ברזל בכל הכנעני הישב בארץ העמק ל͏אשר בבית שאן ובנותיה ולאשר בעמק יזרעאל

joshua 17 17   ויאמר יהושע אל בית יוסף לאפרים ולמנשה לאמר עם רב אתה וכח גדול לך לא יהיה לך גורל אחד

joshua 17 18   כי הר יהיה לך כי יער הוא ובראתו והיה לך תצאתיו כי תוריש את הכנעני כי רכב ברזל לו כי חזק הוא

joshua 18 1   ויקהלו כל עדת בני ישראל שלה וישכינו שם את אהל מועד והארץ נכבשה לפניהם

joshua 18 2   ויותרו בבני ישראל אשר לא חלקו את נ͏חלתם שבעה שבטים

joshua 18 3   ויאמר יהושע אל בני ישראל עד אנה אתם מתרפים לבוא לרשת את הארץ אשר נתן לכם יהוה אלהי אבותיכם

joshua 18 4   הבו לכם שלשה אנשים לשבט ואשלחם ויקמו ויתהלכו בארץ ויכתבו אותה לפי נחלתם ויבאו אלי

joshua 18 5   והתחלקו אתה לשבעה חלקים יהודה יעמד על גבולו מנגב ובית יוסף יעמדו על גבולם מצפון

joshua 18 6   ואתם תכתבו את הארץ שבעה חלקים ו͏הבאתם אלי הנה ויריתי לכם גורל פה לפני יהוה אלהינו

joshua 18 7   כי אין חלק ללוים בקרבכם כי כהנת יהוה נחלתו וגד וראובן וחצי שבט המנשה לקחו נחלתם מעבר לירדן מזרחה אשר נתן להם משה עבד יהוה

joshua 18 8   ויקמו האנשים וילכו ויצו יהושע את ההלכים לכתב את הארץ לאמר לכו והתהלכו בארץ וכתבו אותה ושובו אלי ופה אשליך לכם גורל לפני יהוה בשלה

joshua 18 9   וילכו ה͏אנשים ויעברו בארץ ויכתבוה לערים לשבעה חלקים על ספר ויבאו אל יהושע אל המחנה שלה

joshua 18 10   וישלך להם יהושע גורל בשלה לפני יהוה ויחלק שם יהושע את הארץ לבני ישראל כמחלקתם

joshua 18 11   ויעל גורל מטה בני בנימן למשפחתם ויצא גבול גורלם בין בני יהודה ובין בני יוסף

joshua 18 12   ויהי להם הגבול לפאת צפונה מן הירדן ועלה הגבול אל כתף יריחו מצפון ועלה בהר ימה והיה והיו תצאתיו מדברה בית און

joshua 18 13   ועבר משם הגבול לוזה אל כתף לוזה נגבה היא בית אל וירד הגבול עטרות אדר על ההר אשר מנגב לבית חרון תחתון

joshua 18 14   ותאר הגבול ונסב לפאת ים נגבה מן ההר אשר על פני בית חרון נגבה והיה והיו תצאתיו אל קרית בעל היא קרית יערים עיר בני יהודה זאת פאת ים

joshua 18 15   ופאת נגבה מקצה קרית יערים ויצא הגבול ימה ויצא אל מעין מי נפתוח

joshua 18 16   וירד הגבול אל קצה ההר אשר על פני גי בן הנם אשר בעמק רפאים צפונה וירד גי הנם אל כתף היבוסי נגבה וירד עין רגל

joshua 18 17   ותאר מצפון ויצא עין שמש ויצא אל גלילות אשר נכח מעלה אדמים וירד אבן בהן בן ראובן

joshua 18 18   ועבר אל כתף מול ה͏ערבה צפונה וירד הערבתה

joshua 18 19   ועבר הגבול אל כתף בית חגלה צפונה והיה והיו תצאותיו תצאות הגבול אל לשון ים המלח צפונה אל קצה הירדן נגבה זה גבול נגב

joshua 18 20   והירדן יגבל אתו לפאת קדמה זאת נחלת בני בנימן לגבולתיה סביב למשפחתם

joshua 18 21   והיו ה͏ערים למטה בני בנימן למשפחותיהם יריחו ובית חגלה ועמק קציץ

joshua 18 22   ובית ה͏ערבה וצמרים ובית אל

joshua 18 23   והעוים והפרה ועפרה

joshua 18 24   וכפר העמני העמנה והעפני וגבע ערים שתים עשרה וחצריהן

joshua 18 25   גבעון והרמה ובארות

joshua 18 26   והמצפה והכפירה והמצה

joshua 18 27   ורקם וירפאל ותראלה

joshua 18 28   וצלע האלף והיבוסי היא ירושלם גבעת קרית ערים ארבע עשרה וחצריהן זאת נחלת בני בנימן למשפחתם

joshua 19 1   ויצא הגורל השני לשמעון למטה בני שמעון למשפחותם ויהי נחלתם בתוך נחלת בני יהודה

joshua 19 2   ויהי להם בנחלתם באר שבע ושבע ומולדה

joshua 19 3   וחצר שועל ובלה ועצם

joshua 19 4   ואלתולד ובתול וחרמה

joshua 19 5   וצקלג ובית המרכבות וחצר סוסה

joshua 19 6   ובית לבאות ושרוחן ערים שלש עשרה וחצריהן

joshua 19 7   עין רמון ועתר ועשן ערים ארבע וחצריהן

joshua 19 8   וכל ה͏חצרים אשר סביבות הערים האלה עד בעלת באר ראמת נגב זאת נחלת מטה בני שמעון למשפחתם

joshua 19 9   מחבל בני יהודה נחלת בני שמעון כי היה חלק בני יהודה רב מהם וינחלו בני שמעון בתוך נחלתם

joshua 19 10   ויעל הגורל השלישי לבני זבולן למשפחתם ויהי גבול נחלתם עד שריד

joshua 19 11   ועלה גבולם לימה ומרעלה ופגע בדבשת ופגע אל הנחל אשר על פני יקנעם

joshua 19 12   ושב משריד קדמה מזרח השמש על גבול כסלת תבר ויצא אל הדברת ועלה יפיע

joshua 19 13   ומשם עבר קדמה מזרחה גתה חפר עתה קצין ויצא רמון המתאר הנעה

joshua 19 14   ונסב אתו הגבול מצפון חנתן והיו תצאתיו גי יפתח אל

joshua 19 15   וקטת ונ͏הלל ושמרון וידאלה ובית לחם ערים שתים עשרה וחצריהן

joshua 19 16   זאת נחלת בני זבולן למשפחותם הערים האלה וחצריהן

joshua 19 17   ליששכר יצא הגורל הרביעי לבני יששכר למשפחותם

joshua 19 18   ויהי גבולם יזרעאלה והכסולת ושונם

joshua 19 19   וחפרים ושיאן ואנחרת

joshua 19 20   והרבית וקשיון ואבץ

joshua 19 21   ורמת ועין גנים ועין חדה ובית פצץ

joshua 19 22   ופגע הגבול בתבור ושחצומה ושחצימה ובית שמש והיו תצאות גבולם הירדן ערים שש עשרה וחצריהן

joshua 19 23   זאת נחלת מטה בני יששכר למשפחתם הערים וחצריהן

joshua 19 24   ויצא הגורל החמישי למטה בני אשר למשפחותם

joshua 19 25   ויהי גבולם חלקת וחלי ובטן ואכשף

joshua 19 26   ואלמלך ועמעד ומשאל ופגע בכרמל הימה ובשיחור לבנת

joshua 19 27   ושב מזרח השמש בית דגן ופגע בזבלון ובגי יפתח אל צפונה בית העמק ונעיאל ויצא אל כבול משמאל

joshua 19 28   ועברן ורחב וחמון וקנה עד צידון רבה

joshua 19 29   ושב הגבול הרמה ועד עיר מבצר צר ושב הגבול חסה ויהיו והיו תצאתיו הימה מחבל אכזיבה

joshua 19 30   ועמה ואפק ורחב ערים עשרים ושתים וחצריהן

joshua 19 31   זאת נחלת מטה בני אשר למשפחתם הערים האלה וחצריהן

joshua 19 32   לבני נפתלי יצא הגורל הששי לבני נפתלי למשפחתם

joshua 19 33   ויהי גבולם מחלף מאלון בצעננים ואדמי הנקב ויבנאל עד לקום ויהי תצאתיו הירדן

joshua 19 34   ושב הגבול ימה אזנות תבור ויצא משם חוקקה ופגע בזבלון מנגב ובאשר פגע מים וביהודה הירדן מזרח השמש

joshua 19 35   וערי מבצר הצדים צר וחמת רקת וכנרת

joshua 19 36   ואדמה והרמה וחצור

joshua 19 37   וקדש ואדרעי ועין חצור

joshua 19 38   ויראון ומגדל אל חרם ובית ענת ובית שמש ערים תשע עשרה וחצריהן

joshua 19 39   זאת נחלת מטה בני נפתלי למשפחתם הערים וחצריהן

joshua 19 40   למטה בני דן למשפחתם יצא הגורל השביעי

joshua 19 41   ויהי גבול נחלתם צרעה ואשתאול ועיר שמש

joshua 19 42   ושעלבין ואילון ויתלה

joshua 19 43   ואילון ותמנתה ועקרון

joshua 19 44   ואלתקה וגבתון ובעלת

joshua 19 45   ויהד ובני ברק וגת רמון

joshua 19 46   ומי הירקון והרקון עם הגבול מול יפו

joshua 19 47   ויצא גבול בני דן מהם ויעלו בני דן וילחמו עם לשם וילכדו אותה ויכו אותה לפי חרב וירשו אותה וישבו בה ויקראו ללשם דן כשם דן אביהם

joshua 19 48   זאת נחלת מטה בני דן למשפחתם הערים האלה וחצריהן

joshua 19 49   ויכלו לנחל את הארץ לגבולתיה ויתנו בני ישראל נחלה ליהושע בן נון בתוכם

joshua 19 50   על פי יהוה נתנו לו את העיר אשר שאל את תמנת סרח בהר אפרים ויבנה את העיר וישב בה

joshua 19 51   אלה הנחלת אשר נחלו אלעזר הכהן ויהושע בן נון וראשי האבות למטות בני ישראל בגורל בשלה לפני יהוה פתח אהל מועד ויכלו מחלק את הארץ

joshua 20 1   וידבר יהוה אל יהושע לאמר

joshua 20 2   דבר אל בני ישראל לאמר תנו לכם את ערי המקלט אשר דברתי אליכם ביד משה

joshua 20 3   לנוס שמה רוצח מכה נפש בשגגה בבלי דעת והיו לכם למקלט מגאל הדם

joshua 20 4   ונס אל אחת מהערים האלה ועמד פתח שער העיר ודבר באזני זקני העיר ההיא את דבריו ואספו אתו העירה אליהם ונתנו לו מקום וישב עמם

joshua 20 5   וכי ירדף גאל הדם אחריו ולא יסגרו את הרצח בידו כי בבלי דעת הכה את רעהו ולא שנא הוא לו מתמול שלשום

joshua 20 6   וישב בעיר ההיא עד עמדו לפני העדה למשפט עד מות הכהן הגדול אשר יהיה בימים ההם אז ישוב הרוצח ובא אל עירו ואל ביתו אל העיר אשר נס משם

joshua 20 7   ויקדשו את קדש בגליל בהר נפתלי ואת שכם בהר אפרים ואת קרית ארבע היא חברון בהר יהודה

joshua 20 8   ומעבר לירדן יריחו מזרחה נתנו את בצר במדבר במישר ממטה ראובן ואת ראמת בגלעד ממטה גד ואת גלון גולן בבשן ממטה מנשה

joshua 20 9   אלה היו ערי המועדה לכל בני ישראל ולגר הגר בתוכם לנוס שמה כל מכה נפש בשגגה ולא ימות ביד גאל הדם עד עמדו לפני העדה

joshua 21 1   ויגשו ראשי אבות הלוים אל אלעזר הכהן ואל יהושע בן נון ואל ראשי אבות המטות לבני ישראל

joshua 21 2   וידברו אליהם בשלה בארץ כנען לאמר יהוה צוה ביד משה לתת לנו ערים לשבת ומגרשיהן לבהמתנו

joshua 21 3   ויתנו בני ישראל ללוים מנחלתם אל פי יהוה את הערים האלה ואת מגרשיהן

joshua 21 4   ויצא הגורל למשפחת הקהתי ויהי לבני אהרן הכהן מן הלוים ממטה יהודה וממטה השמעני וממטה בנימן בגורל ערים שלש עשרה

joshua 21 5   ולבני קהת הנותרים ממשפחת מטה אפרים וממטה דן ומחצי מטה מנשה בגורל ערים עשר

joshua 21 6   ולבני גרשון ממשפחות מטה יששכר וממטה אשר וממטה נפתלי ומחצי מטה מנשה בבשן בגורל ערים שלש עשרה

joshua 21 7   לבני מררי למשפחתם ממטה ראובן וממטה גד וממטה זבולן ערים שתים עשרה

joshua 21 8   ויתנו בני ישראל ללוים את הערים האלה ואת מגרשיהן כאשר צוה יהוה ביד משה בגורל

joshua 21 9   ו͏יתנו ממטה בני יהודה וממטה בני שמעון את הערים האלה אשר יקרא אתהן בשם

joshua 21 10   ו͏יהי לבני אהרן ממשפחות הקהתי מבני לוי כי להם היה הגורל ריאשנה

joshua 21 11   ויתנו להם את קרית ארבע אבי הענוק היא חברון בהר יהודה ואת מגרשה סביבתיה

joshua 21 12   ואת שדה העיר ואת חצריה נתנו לכלב בן יפנה באחזתו

joshua 21 13   ולבני אהרן הכהן נתנו את עיר מקלט הרצח את חברון ואת מגרשה ואת לבנה ואת מגרשה

joshua 21 14   ואת יתר ואת מגרשה ואת אשתמע ואת מגרשה

joshua 21 15   ואת חלן ואת מגרשה ואת דבר ואת מגרשה

joshua 21 16   ואת עין ואת מגרשה ואת יטה ואת מגרשה את בית שמש ואת מגרשה ערים תשע מאת שני השבטים האלה

joshua 21 17   וממטה בנימן את גבעון ואת מגרשה את גבע ואת מגרשה

joshua 21 18   את ענתות ואת מגרשה ואת עלמון ואת מגרשה ערים ארבע

joshua 21 19   כל ערי בני אהרן הכהנים שלש עשרה ערים ומגרשיהן

joshua 21 20   ולמשפחות בני קהת הלוים הנותרים מבני קהת ויהי ערי גורלם ממטה אפרים

joshua 21 21   ויתנו להם את עיר מקלט הרצח את שכם ואת מגרשה בהר אפרים ואת גזר ואת מגרשה

joshua 21 22   ואת קבצים ואת מגרשה ואת בית חורן ואת מגרשה ערים ארבע

joshua 21 23   וממטה דן את אלתקא ואת מגרשה את גבתון ואת מגרשה

joshua 21 24   את אילון ואת מגרשה את גת רמון ואת מגרשה ערים ארבע

joshua 21 25   וממחצית מטה מנשה את תענך ואת מגרשה ואת גת רמון ואת מגרשה ערים שתים

joshua 21 26   כל ערים עשר ומגרשיהן למשפחות בני קהת הנותרים

joshua 21 27   ולבני גרשון ממשפחת הלוים מחצי מטה מנשה את עיר מקלט הרצח את גלון גולן בבשן ואת מגרשה ואת בעשתרה ואת מגרשה ערים שתים

joshua 21 28   וממטה יששכר את קשיון ואת מגרשה את דברת ואת מגרשה

joshua 21 29   את ירמות ואת מגרשה את עין גנים ואת מגרשה ערים ארבע

joshua 21 30   וממטה אשר את משאל ואת מגרשה את עבדון ואת מגרשה

joshua 21 31   את חלקת ואת מגרשה ואת רחב ואת מגרשה ערים ארבע

joshua 21 32   וממטה נפתלי את עיר מקלט הרצח את קדש בגליל ואת מגרשה ואת חמת דאר ואת מגרשה ואת קרתן ואת מגרשה ערים שלש

joshua 21 33   כל ערי הגרשני למשפחתם שלש עשרה עיר ומגרשיהן

joshua 21 34   ולמשפחות בני מררי הלוים הנותרים מאת מטה זבולן את יקנעם ואת מגרשה את קרתה ואת מגרשה

joshua 21 35   את דמנה ואת מגרשה את נהלל ואת מגרשה ערים ארבע

joshua 21 36   X וממטה ראובן את בצר ואת מגרשה ואת יהצה ואת מגרשה

joshua 21 37   X את קדמות ואת מגרשה ואת מיפעת ואת מגרשה ערים ארבע

joshua 21 38   וממטה גד את עיר מקלט הרצח את רמת בגלעד ואת מגרשה ואת מחנים ואת מגרשה

joshua 21 39   את חשבון ואת מגרשה את יעזר ואת מגרשה כל ערים ארבע

joshua 21 40   כל הערים לבני מררי למשפחתם הנותרים ממשפחות הלוים ויהי גורלם ערים שתים עשרה

joshua 21 41   כל ערי הלוים בתוך אחזת בני ישראל ערים ארבעים ושמנה ומגרשיהן

joshua 21 42   תהיינה הערים האלה עיר עיר ומגרשיה סביבתיה כן לכל הערים האלה

joshua 21 43   ויתן יהוה לישראל את כל הארץ אשר נשבע לתת לאבותם וירשוה וישבו בה

joshua 21 44   וינח יהוה להם מסביב ככל אשר נשבע לאבותם ולא עמד איש בפניהם מכל איביהם את כל איביהם נתן יהוה בידם

joshua 21 45   לא נפל דבר מכל הדבר הטוב אשר דבר יהוה אל בית ישראל הכל בא

joshua 22 1   אז יקרא יהושע לראובני ולגדי ולחצי מטה מנשה

joshua 22 2   ויאמר אליהם אתם שמרתם את כל אשר צוה אתכם משה עבד יהוה ותשמעו בקולי לכל אשר צויתי אתכם

joshua 22 3   לא עזבתם את אחיכם זה ימים רבים עד היום הזה ושמרתם את משמרת מצות יהוה אלהיכם

joshua 22 4   ועתה הניח יהוה אלהיכם לאחיכם כאשר דבר להם ועתה פנו ולכו לכם לאהליכם אל ארץ אחזתכם אשר נתן לכם משה עבד יהוה בעבר הירדן

joshua 22 5   רק שמרו מאד לעשות את המצוה ואת התורה אשר צוה אתכם משה עבד יהוה לאהבה את יהוה אלהיכם וללכת בכל דרכיו ולשמר מצותיו ולדבקה בו ולעבדו בכל לבבכם ובכל נפשכם

joshua 22 6   ויברכם יהושע וישלחם וילכו אל אהליהם

joshua 22 7   ולחצי שבט המנשה נתן משה בבשן ולחציו נתן יהושע עם אחיהם מעבר בעבר הירדן ימה וגם כי שלחם יהושע אל אהליהם ויברכם

joshua 22 8   ויאמר אליהם לאמר בנכסים רבים שובו אל אהליכם ובמקנה רב מאד בכסף ובזהב ובנחשת ובברזל ובשלמות הרבה מאד חלקו שלל איביכם עם אחיכם

joshua 22 9   וישבו וילכו בני ראובן ובני גד וחצי שבט המנשה מאת בני ישראל משלה אשר בארץ כנען ללכת אל ארץ הגלעד אל ארץ אחזתם אשר נאחזו בה על פי יהוה ביד משה

joshua 22 10   ויבאו אל גלילות הירדן אשר בארץ כנען ויבנו בני ראובן ובני גד וחצי שבט המנשה שם מזבח על הירדן מזבח גדול למראה

joshua 22 11   וישמעו בני ישראל לאמר הנה בנו בני ראובן ובני גד וחצי שבט המנשה את המזבח אל מול ארץ כנען אל גלילות הירדן אל עבר בני ישראל

joshua 22 12   וישמעו בני ישראל ויקהלו כל עדת בני ישראל שלה לעלות עליהם לצבא

joshua 22 13   וישלחו בני ישראל אל בני ראובן ואל בני גד ואל חצי שבט מנשה אל ארץ הגלעד את פינחס בן אלעזר הכהן

joshua 22 14   ועשרה נשאים עמו נשיא אחד נשיא אחד לבית אב לכל מטות ישראל ואיש ראש בית אבותם המה לאלפי ישראל

joshua 22 15   ויבאו אל בני ראובן ואל בני גד ואל חצי שבט מנשה אל ארץ הגלעד וידברו אתם לאמר

joshua 22 16   כה אמרו כל עדת יהוה מה המעל הזה אשר מעלתם באלהי ישראל לשוב היום מאחרי יהוה בבנותכם לכם מזבח למרדכם היום ביהוה

joshua 22 17   המעט לנו את עון פעור אשר לא הטהרנו ממנו עד היום הזה ויהי הנגף בעדת יהוה

joshua 22 18   ואתם תשבו היום מאחרי יהוה והיה אתם תמרדו היום ביהוה ומחר אל כל עדת ישראל יקצף

joshua 22 19   ואך אם טמאה ארץ אחזתכם עברו לכם אל ארץ אחזת יהוה אשר שכן שם משכן יהוה והאחזו בתוכנו וביהוה אל תמרדו ואתנו אל תמרדו בבנתכם לכם מזבח מבלעדי מזבח יהוה אלהינו

joshua 22 20   הלוא עכן בן זרח מעל מעל בחרם ועל כל עדת ישראל היה קצף והוא איש אחד לא גוע בעונו

joshua 22 21   ויענו בני ראובן ובני גד וחצי שבט המנשה וידברו את ראשי אלפי ישראל

joshua 22 22   אל אלהים יהוה אל אלהים יהוה הוא ידע וישראל הוא ידע אם במרד ואם במעל ביהוה אל תושיענו היום הזה

joshua 22 23   לבנות לנו מזבח לשוב מאחרי יהוה ואם להעלות עליו עולה ומנחה ואם לעשות עליו זבחי שלמים יהוה הוא יבקש

joshua 22 24   ואם לא מדאגה מדבר עשינו את זאת לאמר מחר יאמרו בניכם לבנינו לאמר מה לכם וליהוה אלהי ישראל

joshua 22 25   וגבול נתן יהוה ביננו וביניכם בני ראובן ובני גד את הירדן אין לכם חלק ביהוה והשביתו בניכם את בנינו לבלתי ירא את יהוה

joshua 22 26   ונאמר נעשה נא לנו לבנות את המזבח לא לעולה ולא לזבח

joshua 22 27   כי עד הוא בינינו וביניכם ובין דרותינו אחרינו לעבד את עבדת יהוה לפניו בעלותינו ובזבחינו ובשלמינו ולא יאמרו בניכם מחר לבנינו אין לכם חלק ביהוה

joshua 22 28   ונאמר והיה כי יאמרו אלינו ואל דרתינו מחר ואמרנו ראו את תבנית מזבח יהוה אשר עשו אבותינו לא לעולה ולא לזבח כי עד הוא בינינו וביניכם

joshua 22 29   חלילה לנו ממנו למרד ביהוה ולשוב היום מאחרי יהוה לבנות מזבח לעלה למנחה ולזבח מלבד מזבח יהוה אלהינו אשר לפני משכנו

joshua 22 30   וישמע פינחס הכהן ונשיאי העדה וראשי אלפי ישראל אשר אתו את הדברים אשר דברו בני ראובן ובני גד ובני מנשה וייטב בעיניהם

joshua 22 31   ויאמר פינחס בן אלעזר הכהן אל בני ראובן ואל בני גד ואל בני מנשה היום ידענו כי בתוכנו יהוה אשר לא מעלתם ביהוה המעל הזה אז הצלתם את בני ישראל מיד יהוה

joshua 22 32   וישב פינחס בן אלעזר הכהן והנשיאים מאת בני ראובן ומאת בני גד מארץ הגלעד אל ארץ כנען אל בני ישראל וישבו אותם דבר

joshua 22 33   וייטב הדבר בעיני בני ישראל ויברכו אלהים בני ישראל ולא אמרו לעלות עליהם לצבא לשחת את הארץ אשר בני ראובן ובני גד ישבים בה

joshua 22 34   ויקראו בני ראובן ובני גד למזבח כי עד הוא בינתינו כי יהוה האלהים

joshua 23 1   ו͏יהי מימים רבים אחרי אשר הניח יהוה לישראל מכל איביהם מסביב ויהושע זקן בא בימים

joshua 23 2   ויקרא יהושע לכל ישראל לזקניו ולראשיו ולשפטיו ולשטריו ויאמר אלהם אני זקנתי באתי בימים

joshua 23 3   ואתם ראיתם את כל אשר עשה יהוה אלהיכם לכל הגוים האלה מפניכם כי יהוה אלהיכם הוא הנלחם לכם

joshua 23 4   ראו הפלתי לכם את הגוים הנשארים האלה בנחלה לשבטיכם מן הירדן וכל הגוים אשר הכרתי והים הגדול מבוא השמש

joshua 23 5   ויהוה אלהיכם הוא יהדפם מפניכם והוריש אתם מלפניכם וירשתם את ארצם כאשר דבר יהוה אלהיכם לכם

joshua 23 6   וחזקתם מאד לשמר ולעשות את כל הכתוב בספר תורת משה לבלתי סור ממנו ימין ושמאול

joshua 23 7   לבלתי בוא בגוים האלה הנשארים האלה אתכם ובשם אלהיהם לא תזכירו ולא תשביעו ולא תעבדום ולא תשתחוו להם

joshua 23 8   כי אם ביהוה אלהיכם תדבקו כאשר עשיתם עד היום הזה

joshua 23 9   ויורש יהוה מפניכם גוים גדלים ועצומים ואתם לא עמד איש בפניכם עד היום הזה

joshua 23 10   איש אחד מכם ירדף אלף כי יהוה אלהיכם הוא הנלחם לכם כאשר דבר לכם

joshua 23 11   ונשמרתם מאד לנפשתיכם לאהבה את יהוה אלהיכם

joshua 23 12   כי אם שוב תשובו ודבקתם ביתר הגוים האלה הנשארים האלה אתכם והתחתנתם בהם ובאתם בהם והם בכם

joshua 23 13   ידוע תדעו כי לא יוסיף יהוה אלהיכם להוריש את הגוים האלה מלפניכם והיו לכם לפח ולמוקש ולשטט בצדיכם ולצננים בעיניכם עד אבדכם מעל האדמה הטובה הזאת אשר נתן לכם יהוה אלהיכם

joshua 23 14   והנה אנכי הולך היום בדרך כל הארץ וידעתם בכל לבבכם ובכל נפשכם כי לא נפל דבר אחד מכל הדברים הטובים אשר דבר יהוה אלהיכם עליכם הכל באו לכם לא נפל ממנו דבר אחד

joshua 23 15   והיה כאשר בא עליכם כל הדבר הטוב אשר דבר יהוה אלהיכם אליכם כן יביא יהוה עליכם את כל הדבר הרע עד השמידו אותכם מעל האדמה הטובה הזאת אשר נתן לכם יהוה אלהיכם

joshua 23 16   בעברכם את ברית יהוה אלהיכם אשר צוה אתכם והלכתם ועבדתם אלהים אחרים והשתחויתם להם וחרה אף יהוה בכם ואבדתם מהרה מעל הארץ הטובה אשר נתן לכם

joshua 24 1   ויאסף יהושע את כל שבטי ישראל שכמה ויקרא לזקני ישראל ולראשיו ולשפטיו ולשטריו ויתיצבו לפני האלהים

joshua 24 2   ויאמר יהושע אל כל העם כה אמר יהוה אלהי ישראל בעבר הנהר ישבו אבותיכם מעולם תרח אבי אברהם ואבי נחור ויעבדו אלהים אחרים

joshua 24 3   ואקח את אביכם את אברהם מעבר הנהר ואולך אותו בכל ארץ כנען וארב וארבה את זרעו ואתן לו את יצחק

joshua 24 4   ואתן ליצחק את יעקב ואת עשו ואתן לעשו את הר שעיר לרשת אותו ויעקב ובניו ירדו מצרים

joshua 24 5   ואשלח את משה ואת אהרן ואגף את מצרים כאשר עשיתי בקרבו ואחר הוצאתי אתכם

joshua 24 6   ואוציא את אבותיכם ממצרים ותבאו הימה וירדפו מצרים אחרי אבותיכם ברכב ובפרשים ים סוף

joshua 24 7   ויצעקו אל יהוה וישם מ͏אפל ביניכם ובין המצרים ויבא עליו את הים ויכסהו ותראינה עיניכם את אשר עשיתי במצרים ותשבו במדבר ימים רבים

joshua 24 8   ואבאה ואביא אתכם אל ארץ האמרי היושב בעבר הירדן וילחמו אתכם ואתן אותם בידכם ותירשו את ארצם ואשמידם מפניכם

joshua 24 9   ויקם בלק בן צפור מלך מואב וילחם בישראל וישלח ויקרא לבלעם בן בעור לקלל אתכם

joshua 24 10   ולא אביתי לשמע לבלעם ויברך ברוך אתכם ואצל אתכם מידו

joshua 24 11   ותעברו את הירדן ותבאו אל יריחו וילחמו בכם בעלי יריחו האמרי והפרזי והכנעני וה͏חתי והגרגשי ה͏חוי והיבוסי ואתן אותם בידכם

joshua 24 12   ואשלח לפניכם את הצרעה ותגרש אותם מפניכם שני מלכי האמרי לא בחרבך ולא בקשתך

joshua 24 13   ואתן לכם ארץ אשר לא יגעת בה וערים אשר לא בניתם ותשבו בהם כרמים וזיתים אשר לא נטעתם אתם אכלים

joshua 24 14   ועתה יראו את יהוה ועבדו אתו בתמים ובאמת והסירו את אלהים אשר עבדו אבותיכם בעבר הנהר ובמצרים ועבדו את יהוה

joshua 24 15   ואם רע בעיניכם לעבד את יהוה בחרו לכם היום את מי תעבדון אם את אלהים אשר עבדו אבותיכם אשר בעבר מעבר הנהר ואם את אלהי האמרי אשר אתם ישבים בארצם ואנכי וביתי נעבד את יהוה

joshua 24 16   ויען העם ויאמר חלילה לנו מעזב את יהוה לעבד אלהים אחרים

joshua 24 17   כי יהוה אלהינו הוא המעלה אתנו ואת אבותינו מארץ מצרים מבית עבדים ואשר עשה לעינינו את האתות הגדלות האלה וישמרנו בכל הדרך אשר הלכנו בה ובכל העמים אשר עברנו בקרבם

joshua 24 18   ויגרש יהוה את כל העמים ואת האמרי ישב הארץ מפנינו גם אנחנו נעבד את יהוה כי הוא אלהינו

joshua 24 19   ויאמר יהושע אל העם לא תוכלו לעבד את יהוה כי אלהים קדשים הוא אל קנוא הוא לא ישא לפשעכם ולחטאותיכם

joshua 24 20   כי תעזבו את יהוה ועבדתם אלהי נכר ושב והרע לכם וכלה אתכם אחרי אשר היטיב לכם

joshua 24 21   ויאמר העם אל יהושע לא כי את יהוה נעבד

joshua 24 22   ויאמר יהושע אל העם עדים אתם בכם כי אתם בחרתם לכם את יהוה לעבד אותו ויאמרו עדים

joshua 24 23   ועתה הסירו את אלהי הנכר אשר בקרבכם והטו את לבבכם אל יהוה אלהי ישראל

joshua 24 24   ויאמרו העם אל יהושע את יהוה אלהינו נעבד ובקולו נשמע

joshua 24 25   ויכרת יהושע ברית לעם ביום ההוא וישם לו חק ומשפט בשכם

joshua 24 26   ויכתב יהושע את הדברים האלה בספר תורת אלהים ויקח אבן גדולה ויקימה שם תחת האלה אשר במקדש יהוה

joshua 24 27   ויאמר יהושע אל כל העם הנה האבן הזאת תהיה בנו לעדה כי היא שמעה את כל אמרי יהוה אשר דבר עמנו והיתה בכם לעדה פן תכחשון באלהיכם

joshua 24 28   וישלח יהושע את העם איש לנחלתו

joshua 24 29   ויהי א͏חרי הדברים האלה וימת יהושע בן נון עבד יהוה בן מאה ועשר שנים

joshua 24 30   ויקברו אתו בגבול נחלתו בתמנת סרח אשר בהר אפרים מצפון להר געש

joshua 24 31   ויעבד ישראל את יהוה כל ימי יהושע וכל ימי הזקנים אשר האריכו ימים אחרי יהושע ואשר ידעו את כל מעשה יהוה אשר עשה לישראל

joshua 24 32   ואת עצמות יוסף אשר העלו בני ישראל ממצרים קברו בשכם בחלקת השדה אשר קנה יעקב מאת בני חמור אבי שכם במאה קשיטה ויהיו לבני יוסף לנחלה

